class,precision,recall,f1_score,support
left,0.9955947136563876,0.9868995633187773,0.9912280701754386,229.0
right,1.0,0.982532751091703,0.9911894273127754,229.0
up,0.9955947136563876,0.9868995633187773,0.9912280701754386,229.0
down,1.0,0.9781659388646288,0.9889624724061811,229.0
open_palm,0.972027972027972,0.9788732394366197,0.9754385964912281,142.0
like,0.9066666666666666,0.9927007299270073,0.9477351916376306,137.0
dorsal,1.0,1.0,1.0,427.0
ok,0.9863013698630136,0.9795918367346939,0.9829351535836177,147.0
